,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
1017,Speranza,A516,Sedan,Manual,2007,Gas,1600,226894,Petroleum,6 October,95000
1018,Speranza,A213,Sedan,Manual,2007,Gas,1377,175000,Silver,Giza,80000
1019,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,1400,10000,White,Cairo,1200000
1020,Toyota,Corolla,Sedan,Manual,1991,Gas,1300,150000,White,Cairo,79000
1021,Geely,Emgrand,Sedan,Manual,2014,Hybrid,1600,200000,Champagne,Alexandria,140000
1022,MG,Rx5,SUV,Automatic,2021,Gas,1500,30000,Red,Cairo,650000
1023,Peugeot,508,Sedan,Automatic,2020,Gas,1600,50000,Dark blue,Mokattam,900000
1024,Ford,Focus,Sedan,Automatic,2022,Gas,1500,8500,Petroleum,Giza,685000
1025,Volkswagen,Cross,SUV,Automatic,2022,Gas,1400,100,Black,Cairo,900000
1026,Kia,Picanto,Hatchback,Manual,2011,Gas,1100,150000,Black,Damietta,185000
1027,Mercedes,C 200,Sedan,Automatic,2019,Gas,1500,85000,Bronze,Tagamo3 - New Cairo,1550000
1028,Volkswagen,Jetta,Sedan,Automatic,2009,Gas,1600,300000,Dark blue,Giza,240000
1029,Chevrolet,Cruze,Sedan,Automatic,2010,Gas,1600,200000,Cyan,Cairo,160000
1030,MG,ZS,Sedan,Automatic,2022,Gas,1500,122000,Red,Shobra,420000
1031,Fiat,Punto,Hatchback,Manual,2008,Gas,1300,54000,Blue,Giza,150000
1032,Hyundai,Elantra CN7,Sedan,Automatic,2022,Gas,1600,25000,Blue,Mohandessin,610000
1033,Peugeot,3008,SUV,Automatic,2016,Gas,1600,180000,Mocha,6 October,405000
1034,Mercedes,E 200 AMG,Sedan,Automatic,2022,Gas,2000,0,Black,Tagamo3 - New Cairo,3450000
1035,Fiat,Tipo,Sedan,Automatic,2021,Gas,1600,36000,Dark green,El Haram,430000
1036,Chery,Arrizo 5,Sedan,Manual,2023,Gas,1500,80,Dark red,Cairo,330000
1037,Hyundai,Tucson,SUV,Automatic,2021,Gas,1600,9000,Light grey,Sheikh Zayed City,800000
1038,Peugeot,508,Sedan,Automatic,2015,Gas,1600,200000,Black,Ismailia,400000
1039,Toyota,Corolla,Sedan,Automatic,2022,Gas,1600,10000,Silver,Maadi,719000
1040,Fiat,Uno,Hatchback,Manual,1993,Gas,1000,150000,Blue,6 October,60000
1041,BMW,X3,SUV,Automatic,2011,Gas,3000,230000,Gray,Sheraton,480000
1042,Chery,Tiggo 3,SUV,Automatic,2021,Gas,1600,80000,Black,Cairo,400000
1043,Skoda,Fantasia,Sedan,Automatic,2011,Gas,1600,120000,Black,Cairo,365000
1044,Mercedes,C 300,Sedan,Automatic,2020,Gas,2000,35000,White,Heliopolis,2100000
1045,Toyota,Corolla,Sedan,Automatic,2009,Gas,1600,88000,Blue,Mansoura,200000
1046,Renault,Duster,SUV,Automatic,2023,Gas,1600,250,Orange,Sheikh Zayed City,750000
1047,Citroën,C5 Aircross,SUV,Automatic,2020,Gas,1600,145000,White,Red Sea,710000
1048,Chrysler,300,Sedan,Automatic,2007,Gas,3000,180000,Black,Sheikh Zayed City,590000
1049,Kia,Picanto,Hatchback,Automatic,2012,Gas,1200,118000,Black,Sheikh Zayed City,285000
1050,Subaru,XV,SUV,Automatic,2019,Gas,1600,113000,Gray,Obour City,800000
1051,Renault,Sandero,Hatchback,Automatic,2016,Gas,1600,88000,Dark blue,Maadi,300000
1052,Mitsubishi,Lancer Puma,Sedan,Manual,2008,Gas,1600,90000,Gray,Qena,200000
1053,Volkswagen,Passat,Sedan,Automatic,2022,Gas,1400,9000,Silver,Heliopolis,1350000
1054,Toyota,Corolla,Sedan,Automatic,2019,Gas,1600,45000,Silver,Tagamo3 - New Cairo,595000
1055,Nissan,Qashqai,SUV,Manual,2012,Gas,1600,200000,Red,Cairo,295000
1056,Renault,Logan,Sedan,Automatic,2018,Gas,1600,95000,Light grey,Tagamo3 - New Cairo,290000
1057,Mazda,Mazda 3,Sedan,Automatic,2017,Gas,1600,70000,Dark blue,Giza,258000
1058,Dodge,Durango,4X4,Automatic,2012,Gas,5700,300000,Black,Sheikh Zayed City,800000
1059,Hyundai,Excel,Sedan,Manual,1993,Gas,1500,150000,Silver,Mokattam,65000
1060,Ssang Yong,Tivoli,SUV,Automatic,2019,Gas,1600,15500,Silver,Tagamo3 - New Cairo,527000
1061,Volkswagen,Passat,Sedan,Automatic,2013,Gas,1400,128000,Silver,El Katameya,440000
1062,Lada,Granta,Sedan,Automatic,2020,Gas,1600,150000,Gray,6 October,175000
1063,Mitsubishi,Lancer Puma,Sedan,Manual,2007,Gas,1300,161000,Light grey,Cairo,200000
1064,BMW,320,Sedan,Automatic,2015,Gas,2000,125000,Gray,Heliopolis,750000
1065,BMW,518,Sedan,Manual,1993,Gas,2500,200000,White,Giza,160000
1066,Daewoo,Lanos,Sedan,Manual,2007,Gas,1500,180000,Black,Helwan,130000
1067,Hyundai,Tucson GDI,SUV,Automatic,2019,Gas,1600,48500,Black,Shobra,890000
1068,Hyundai,Verna,Sedan,Automatic,2011,Gas,1600,250000,White,Warraq,150000
1069,Kia,Soul,Hatchback,Automatic,2013,Gas,1600,127500,Silver,Touhk,300000
1070,Renault,Logan,Sedan,Automatic,2018,Gas,1600,110000,Red,10th of Ramadan,265000
1071,Fiat,Siena,Sedan,Manual,2003,Gas,1600,170000,Dark blue,6 October,65000
1072,Peugeot,405,Sedan,Manual,1994,Gas,1600,200000,White,Alexandria,90000
1073,Opel,Astra,Sedan,Automatic,2021,Gas,1400,28000,Gray,6 October,575000
1074,Suzuki,Swift Dzire,Sedan,Automatic,2021,Gas,1200,51000,Silver,6 October,300000
1075,Mercedes,C 180,Sedan,Automatic,2014,Gas,1600,45000,Black,El Bagour,1090000
1076,Kia,Grand Cerato,Sedan,Automatic,2022,Gas,1600,17000,Dark blue,Giza,650000
1077,Peugeot,508,Sedan,Automatic,2012,Gas,1600,149000,Black,Sheikh Zayed City,330000
1078,Renault,Captur,Hatchback,Automatic,2017,Gas,1200,90000,Red,6 October,365000
1079,Toyota,Corolla,Sedan,Automatic,2022,Gas,1600,6000,White,Beheira,700000
1080,Volkswagen,Pointer,Hatchback,Manual,2005,Gas,1800,35000,Dark blue,Cairo,50000
1081,Mercedes,GLA,SUV,Automatic,2022,Gas,1300,500,White,Mohandessin,1900000
1082,DFSK,330S,MiniVans,Manual,2022,Gas,1500,30000,Red,Mansoura,350000
1083,Renault,Logan,Sedan,Automatic,2021,Gas,1600,22000,Black,Giza,310000
1084,BMW,318,Sedan,Automatic,2017,Gas,1500,176600,Black,Tagamo3 - New Cairo,710000
1085,Mitsubishi,Lancer Puma,Sedan,Automatic,2008,Gas,1600,20000,Blue,Damietta,250000
1086,Mercedes,A 200,Hatchback,Automatic,2022,Gas,1300,195,Petroleum,Al Shorouk,1550000
1087,Daewoo,Lanos 2,Sedan,Manual,2007,Gas,1500,118000,Silver,Zagazig,145000
1088,Opel,Insignia,Sedan,Automatic,2014,Gas,1400,200000,Black,6 October,350000
1089,MG,6,Sedan,Automatic,2020,Gas,1500,55000,White,6 October,450000
1090,Kia,Carens,MiniVans,Automatic,2011,Gas,1600,156000,Black,Maadi,310000
1091,Chevrolet,Captiva,SUV,Automatic,2021,Gas,1500,52000,Silver,Cairo,580000
1092,Isuzu,D max,Pick up,Manual,2016,Diesel,2500,400000,White,Maadi,370000
1093,Ford,Kuga,SUV,Automatic,2018,Gas,1500,145000,Dark blue,Sadat City,720000
1094,Kia,Sportage,SUV,Automatic,2016,Gas,1600,59000,Gray,Dokki,675000
1095,Jeep,Liberty,4X4,Automatic,2006,Gas,3700,225000,Black,Cairo,260000
1096,Kia,Sephia,Sedan,Manual,1999,Gas,1600,220000,Champagne,Cairo,90000
1097,Mercedes,C 180,Sedan,Automatic,2004,Gas,1800,83000,Silver,Sheikh Zayed City,400000
1098,Chevrolet,Equinox,SUV,Automatic,2019,Gas,1500,43000,White,Mohandessin,730000
1099,Nissan,Sunny,Sedan,Automatic,2018,Gas,1600,100000,Bronze,Heliopolis,315000
1100,Toyota,Starlet,Hatchback,Manual,1992,Gas,1000,190000,Red,Helwan,62000
1101,Fiat,Tipo,Sedan,Manual,2020,Gas,1400,57000,Silver,Mansoura,295000
1102,Skoda,Octavia A7,Sedan,Automatic,2016,Gas,1600,128000,Black,Tagamo3 - New Cairo,490000
1103,Renault,Megane,Sedan,Automatic,2021,Gas,1200,30000,Petroleum,Nasr city,600000
1104,Seat,Toledo,Sedan,Automatic,2016,Gas,1600,188000,Silver,El Qanater El Khayreya,340000
1105,Volkswagen,Tiguan,SUV,Automatic,2022,Gas,1400,20,White,Nasr city,1470000
1106,Mercedes,E 300,Sedan,Automatic,2021,Hybrid,2000,16000,Gray,Nasr city,3000000
1107,Kia,Carens,MiniVans,Automatic,2011,Gas,1600,230000,Mocha,Ismailia,340000
1108,Daewoo,Lanos,Sedan,Manual,2005,Gas,1600,190000,Beige,Obour City,118000
1109,Citroën,Xsara,Sedan,Manual,2001,Gas,1600,190000,Black,10th of Ramadan,75000
1110,Peugeot,508,Sedan,Automatic,2019,Gas,1600,200000,Light grey,El Haram,700000
1111,Toyota,Corolla,Sedan,Automatic,2012,Gas,1600,296000,Gold,Damanhur,350000
1112,BMW,520,Sedan,Automatic,2014,Gas,2000,180000,Mocha,Tagamo3 - New Cairo,900000
1113,Hyundai,IX 35,SUV,Automatic,2016,Gas,1600,130000,Silver,Damietta,550000
1114,Toyota,Corolla,Sedan,Automatic,2015,Gas,1600,270000,Black,Faiyum,385000
1115,Citroën,C3,Hatchback,Manual,2004,Gas,1400,128000,Silver,Mokattam,73000
1116,Daewoo,Juliet,Hatchback,Manual,2003,Gas,1600,100000,White,Giza,105000
1117,Hyundai,Tucson GDI,SUV,Automatic,2017,Gas,1600,140000,Dark red,Dokki,650000
1118,Lada,Granta,Sedan,Manual,2020,Gas,1600,66000,Mocha,Ain Shams,190000
1119,Volkswagen,Passat,Sedan,Automatic,2020,Gas,1400,50000,Silver,Cairo,1100000
1120,Daewoo,Lacetti,Hatchback,Automatic,2002,Gas,1500,175000,White,10th of Ramadan,190000
1121,Nissan,Tiida,Hatchback,Automatic,2015,Gas,1600,117000,Dark red,6 October,370000
1122,Suzuki,Ertiga,MiniVans,Automatic,2022,Gas,1500,3000,White,Tanta,600000
1123,Opel,Insignia,Sedan,Automatic,2018,Gas,1500,112000,Blue,Nasr city,750000
1124,Ford,Kuga,SUV,Automatic,2017,Gas,1600,86000,Gray,Alexandria,700000
1125,Nissan,Sunny,Sedan,Automatic,2021,Gas,1600,45000,Black,6 October,315000
1126,Renault,Logan,Sedan,Automatic,2022,Gas,1600,14000,Silver,Heliopolis,365000
1127,Opel,Astra,Sedan,Manual,2001,Gas,1200,68000,Silver,Nasr city,185000
1128,MG,6,Sedan,Automatic,2021,Gas,1500,62000,Red,Cairo,600000
1129,Volkswagen,Passat,Sedan,Automatic,2021,Gas,1400,30000,Gray,Heliopolis,960000
1130,Jeep,Renegade,4X4,Automatic,2019,Gas,1400,20000,Red,Heliopolis,790000
1131,Kia,Carens,MiniVans,Automatic,2015,Gas,1600,126000,Light grey,Ismailia,550000
1132,MG,ZS,Sedan,Automatic,2020,Gas,1500,42000,Red,Sheikh Zayed City,495000
1133,Mitsubishi,Eclipse Cross,SUV,Automatic,2020,Gas,1500,27000,White,Sheikh Zayed City,725000
1134,Chevrolet,Cruze,Sedan,Automatic,2016,Gas,1600,120000,Black,Alexandria,325000
1135,Mercedes,C 180,Sedan,Automatic,2022,Gas,1500,6000,Gray,Nasr city,2050000
1136,Changan,Benni,Hatchback,Manual,2013,Gas,1000,61000,White,Ismailia,110000
1137,Mercedes,E 320,Sedan,Automatic,2003,Gas,3200,223000,Black,Cairo,485000
1138,Toyota,Corolla,Sedan,Automatic,2005,Gas,1300,320000,Black,Cairo,300000
1139,Mitsubishi,Lancer Puma,Sedan,Automatic,2013,Gas,1600,300000,Red,Sheikh Zayed City,280000
1140,Nissan,Sunny,Sedan,Automatic,2019,Gas,1500,131000,Gray,Nasr city,300000
1141,Nissan,Sunny,Sedan,Automatic,2014,Gas,1600,270000,Bronze,Cairo,188000
1142,Seat,Leon,Hatchback,Automatic,2016,Gas,1600,99000,Silver,Dakahlia,425000
1143,MG,5,Sedan,Automatic,2022,Gas,1500,10780,Black,Alexandria,370000
1144,Mercedes,C 180,Sedan,Automatic,2012,Gas,1800,140000,Champagne,Nasr city,560000
1145,Speranza,A620,Sedan,Automatic,2007,Gas,2000,180000,Black,Giza,125000
1146,MG,ZS,Sedan,Automatic,2021,Gas,1500,108000,Red,6 October,460000
1147,Nissan,Sunny,Sedan,Automatic,2020,Gas,1500,100000,Black,Giza,295000
1148,Jac,S4,SUV,Automatic,2020,Gas,1500,130000,White,Mokattam,450000
1149,Opel,Astra,Sedan,Automatic,2014,Gas,1600,242000,Purple,Madinaty,355000
1150,BMW,316,Sedan,Manual,2008,Gas,1600,300000,Light grey,Zagazig,370000
1151,Skoda,Favorit,Hatchback,Manual,1994,Gas,1300,100000,Red,6 October,39000
1152,Brilliance,FSV,Sedan,Automatic,2013,Gas,1500,180000,Black,Giza,145000
1153,Chery,Envy,Sedan,Manual,2017,Gas,1500,165000,Brown,Warraq,155000
1154,Skoda,Fabia,Hatchback,Automatic,2011,Gas,1500,133000,Gray,Shibin el Kom,250000
1155,Hyundai,Verna,Sedan,Manual,2011,Gas,1600,147000,Dark blue,El Minya,157000
1156,Chery,Arrizo 5,Sedan,Automatic,2023,Gas,1500,200,Dark blue,Alexandria,400000
1157,Citroën,C5,Sedan,Automatic,2020,Gas,1600,91000,Silver,6 October,815000
1158,Mercedes,C 180,Sedan,Automatic,2018,Gas,1600,35000,Black,Heliopolis,1350000
1159,Chevrolet,Optra,Sedan,Automatic,2009,Gas,1600,200000,Cyan,Banha,205000
1160,Mazda,Mazda 3,Sedan,Automatic,2010,Gas,1600,200000,Light grey,Sharqia,260000
1161,Daewoo,Nubira 2,Sedan,Automatic,2004,Gas,1600,24000,Silver,Beni Suef,116000
1162,Subaru,Impreza,Sedan,Automatic,2016,Gas,1600,35000,Silver,Alexandria,485000
1163,Daewoo,Lanos,Sedan,Manual,2005,Gas,1600,180000,Gray,Tagamo3 - New Cairo,120000
1164,Suzuki,Swift,Hatchback,Automatic,2022,Gas,1200,30000,Red,Suez,340000
1165,Hyundai,Elantra MD,Sedan,Automatic,2016,Gas,1600,132000,Red,Faiyum,360000
1166,Opel,Astra,Sedan,Automatic,2020,Gas,1600,110000,Black,Shobra,450000
1167,Volkswagen,Golf 6,Hatchback,Automatic,2012,Gas,1600,147000,Blue,Alexandria,380000
1168,Mini,John Cooper,Hatchback,Automatic,2021,Gas,2000,49000,Red,Dokki,1265000
1169,Hyundai,Verna,Sedan,Manual,2014,Gas,1600,169000,Gray,Faiyum,180000
1170,Citroën,C4 Picasso,MiniVans,Automatic,2014,Gas,1600,142000,Silver,Mokattam,315000
1171,Nissan,Qashqai,SUV,Automatic,2017,Gas,1200,65000,Red,Mansoura,560000
1172,Mercedes,C 180,Sedan,Automatic,2015,Gas,1600,77800,Silver,Tagamo3 - New Cairo,1250000
1173,Fiat,Regata,Sedan,Manual,1986,Gas,1600,100000,White,Sheikh Zayed City,24000
1174,Nissan,Qashqai,SUV,Automatic,2020,Gas,1200,55000,Blue,Asyut,630000
1175,Chevrolet,Aveo,Sedan,Manual,2013,Gas,1500,314000,Dark red,Cairo,160000
1176,Skoda,Octavia A4,Sedan,Automatic,2004,Gas,1600,200000,Cyan,Alexandria,185000
1177,Mitsubishi,Lancer Puma,Sedan,Automatic,2008,Gas,1600,165000,Silver,Giza,150000
1178,Mitsubishi,Lancer Puma,Sedan,Automatic,2009,Gas,1600,95000,Red,Alexandria,430000
1179,Nissan,Sunny,Sedan,Automatic,2017,Gas,1600,170000,Red,Mansoura,285000
1180,Hyundai,Elantra MD,Sedan,Automatic,2013,Gas,1600,150000,Gray,El Manial,335000
1181,Mercedes,C 180,Sedan,Automatic,2009,Gas,1600,107000,Gray,Cairo,500000
1182,Kia,Sportage,SUV,Automatic,2022,Gas,1600,9000,Silver,Tagamo3 - New Cairo,880000
1183,Proton,Saga,Sedan,Automatic,2021,Gas,1300,40000,Silver,El Haram,350000
1184,Volkswagen,Passat,Sedan,Automatic,2019,Gas,1400,85000,Silver,Nasr city,820000
1185,Kia,Sportage,SUV,Automatic,2019,Gas,1600,130000,Gray,Minya Al Qamh,775000
1186,Nissan,Sentra,Sedan,Automatic,2016,Gas,1600,123000,Gold,El Haram,345000
1187,Ford,EcoSport,SUV,Automatic,2018,Gas,1000,35000,Gold,Cairo,485000
1188,Hyundai,IX 35,SUV,Automatic,2015,Gas,1600,130000,Light grey,Kafr el-Dawwar,520000
1189,Mercedes,E 250,Sedan,Automatic,2010,Gas,1800,180000,Silver,Tanta,500000
1190,Fiat,Punto,Hatchback,Manual,1994,Gas,1300,150000,White,Ismailia,50000
1191,Opel,Astra,Sedan,Automatic,2014,Gas,1600,152000,Brown,Sheikh Zayed City,345000
1192,Mercedes,E 250,Sedan,Automatic,2011,Gas,1800,155000,White,Maadi,1050000
1193,Opel,Insignia,Sedan,Automatic,2014,Gas,1600,90000,Purple,Sheikh Zayed City,600000
1194,Nissan,Sunny,Sedan,Manual,2000,Gas,1300,400000,Green,Al Shorouk,125000
1195,Opel,Astra,Sedan,Automatic,2019,Gas,1400,92000,Light grey,Nasr city,430000
1196,Opel,Insignia,Sedan,Automatic,2018,Gas,1600,158000,Dark green,Touhk,725000
1197,Kia,Cerato,Sedan,Automatic,2010,Gas,1600,150000,Bronze,Banha,355000
1198,Hyundai,Accent RB,Sedan,Automatic,2015,Gas,1600,123000,Bronze,Cairo,287000
1199,Daewoo,Nubira 2,Sedan,Manual,1999,Gas,1600,270000,White,Shibin el Kom,95000
1200,Jeep,Renegade,4X4,Automatic,2017,Gas,1400,130000,White,Beni Suef,510000
1201,Nissan,Sunny,Sedan,Automatic,2019,Gas,1500,80000,Bronze,Warraq,300000
1202,Opel,Astra,Sedan,Automatic,2001,Gas,1200,354000,Dark green,El Marg,150000
1203,Volkswagen,Polo,Hatchback,Manual,1997,Gas,1400,180000,Purple,Giza,115000
1204,Mercedes,E 240,Sedan,Automatic,2000,Gas,2500,190000,Silver,Cairo,340000
1205,Skoda,Octavia A4,Sedan,Automatic,2001,Gas,1600,231000,Bronze,Nasr city,183000
1206,MG,5,Sedan,Automatic,2021,Gas,1600,59000,Black,Alexandria,395000
1207,Nissan,Sunny,Sedan,Automatic,2008,Gas,1600,200000,Silver,Damanhur,215000
1208,Hyundai,Verna,Sedan,Manual,2015,Gas,1600,490000,White,Ain Shams,140000
1209,Chevrolet,Optra,Sedan,Automatic,2018,Gas,1500,47000,Light grey,Kafr el-Sheikh,290000
1210,Hyundai,Accent,Sedan,Manual,2000,Gas,1300,220000,Mocha,El Marg,70000
1211,Nissan,Sunny,Sedan,Automatic,2015,Gas,1500,190000,Dark red,6 October,215000
1212,Volkswagen,Passat,Sedan,Automatic,1999,Gas,1600,143000,Blue,Alexandria,120000
1213,BMW,316,Sedan,Automatic,2015,Gas,1600,150000,Black,Heliopolis,660000
1214,Peugeot,3008,SUV,Automatic,2015,Gas,1600,71000,Gold,Luxor,450000
1215,Renault,Logan,Sedan,Automatic,2019,Gas,1600,150000,Dark blue,6 October,270000
1216,Jeep,Grand Cherokee,4X4,Automatic,2001,Gas,4800,300000,Gold,Mokattam,280000
1217,Skoda,Felicia combi,Hatchback,Manual,1997,Gas,1300,200000,Green,Qalyub,75000
1218,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Gas,1600,16000,Champagne,Sheikh Zayed City,450000
1219,Chevrolet,Lanos,Sedan,Manual,2010,Natural Gas,1500,330000,White,Imbaba,115000
1220,BMW,X5,4X4,Automatic,2017,Gas,4400,95000,Silver,Heliopolis,1780000
1221,Nissan,Sunny,Sedan,Automatic,2013,Gas,1600,131000,Red,Cairo,200000
1222,Byd,F3,Sedan,Manual,2018,Gas,1600,20000,Blue,Giza,210000
1223,Hyundai,Tucson,SUV,Automatic,2021,Gas,1600,6800,Petroleum,Al Shorouk,1050000
1224,Toyota,Corolla,Sedan,Automatic,2021,Gas,1600,48000,White,Borg el arab,600000
1225,Opel,Corsa,Hatchback,Automatic,2017,Gas,1400,95000,Gray,Heliopolis,290000
1226,Chery,Tiggo 7,SUV,Automatic,2022,Gas,1500,23000,White,Tagamo3 - New Cairo,525000
1227,Jetour,X70,SUV,Automatic,2022,Gas,1500,10000,Bronze,Heliopolis,590000
1228,Kia,Cerato Koup,Coupe,Automatic,2012,Gas,1600,229000,Gray,Cairo,320000
1229,Hyundai,Veloster,Coupe,Manual,1989,Gas,1600,230000,White,El Haram,75000
1230,Kia,Pride,Sedan,Manual,1999,Gas,1100,135000,Silver,El Haram,70000
1231,Seat,Leon,Hatchback,Automatic,2019,Gas,1400,75000,White,Madinaty,670000
1232,Opel,Tigra,Coupe,Manual,1997,Gas,1600,100000,Silver,Tagamo3 - New Cairo,100000
1233,Seat,Ibiza,Sedan,Automatic,2011,Gas,1600,149000,Red,Obour City,238000
1234,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,1400,73000,Gray,Ismailia,950000
1235,Seat,Leon,Hatchback,Automatic,2019,Gas,1400,79000,Red,Damietta,660000
1236,Mini,Country man,Hatchback,Automatic,2020,Gas,1500,80000,White,Heliopolis,875000
1237,Toyota,Yaris,Sedan,Automatic,2014,Gas,1300,150000,White,Nasr city,320000
1238,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,2000,60000,Light grey,Obour City,1400000
1239,Seat,Toledo,Sedan,Manual,1996,Gas,1600,160000,Dark blue,El Manial,75000
1240,BMW,318,Sedan,Automatic,2019,Gas,1500,61000,White,Maadi,980000
1241,Kia,Cerato Koup,Coupe,Automatic,2010,Gas,1600,150000,Dark red,Tagamo3 - New Cairo,300000
1242,Hyundai,Elantra Coupe,Coupe,Automatic,2018,Gas,1600,111000,Gray,Giza,440000
1243,Senova,X25,SUV,Automatic,2017,Gas,1500,130000,Blue,El Minya,250000
1244,Kia,Sportage,SUV,Automatic,2020,Gas,1600,90000,Dark blue,Sohag,850000
1245,Hyundai,Accent,Sedan,Manual,2006,Gas,1300,300000,Cyan,Tagamo3 - New Cairo,110000
1246,Kia,Carens,MiniVans,Automatic,2011,Gas,1600,130000,Silver,Suez,360000
1247,Toyota,Corolla,Sedan,Automatic,2015,Gas,1600,124000,Silver,Giza,550000
1248,BMW,116,Hatchback,Manual,2009,Gas,1600,227000,Gray,10th of Ramadan,250000
1249,MG,6,Sedan,Automatic,2021,Gas,1500,30000,Gray,Heliopolis,550000
1250,Mercedes,E 200,Sedan,Automatic,2000,Gas,2000,200000,Gold,Heliopolis,355000
1251,BMW,520,Sedan,Automatic,2015,Gas,2000,150000,Blue,Tagamo3 - New Cairo,880000
1252,Skoda,Octavia A7,Sedan,Automatic,2014,Gas,1400,110000,White,Shibin el Kom,470000
1253,Hyundai,I30,Hatchback,Manual,2009,Gas,1600,170000,Silver,Hurghada,285000
1254,Chevrolet,Optra,Sedan,Automatic,2015,Gas,1600,111000,Silver,Banha,215000
1255,Suzuki,Swift,Hatchback,Automatic,2022,Gas,1600,30000,White,Heliopolis,418000
1256,BMW,320,Sedan,Automatic,2008,Gas,2000,220000,Cyan,Heliopolis,390000
1257,Chevrolet,Traverse,4X4,Automatic,2011,Gas,3500,130000,Light grey,Damietta,470000
1258,Byd,F3,Sedan,Manual,2020,Gas,1500,13500,Red,Dokki,285000
1259,Kia,Cerato,Sedan,Automatic,2022,Gas,1600,20000,White,Ismailia,670000
1260,Hyundai,IX 35,SUV,Automatic,2015,Gas,1600,130000,White,Zefta,570000
1261,Skoda,Octavia A7,Sedan,Automatic,2017,Gas,1600,95000,Gray,6 October,570000
1262,Nissan,Armada,4X4,Automatic,2008,Gas,5600,180000,Black,Alexandria,600000
1263,Renault,Duster,SUV,Manual,2016,Gas,1600,115000,Mocha,Tagamo3 - New Cairo,255000
1264,DFSK,Glory,MiniVans,Manual,2022,Gas,1300,95000,Brown,Cairo,310000
1265,MG,5,Sedan,Automatic,2020,Gas,1600,19000,Cyan,Tanta,425000
1266,MG,5,Sedan,Automatic,2022,Gas,1500,30,Black,Tagamo3 - New Cairo,480000
1267,Chery,Tiggo 3,SUV,Automatic,2021,Gas,1600,75000,Silver,6 October,410000
1268,Citroën,C5,Sedan,Automatic,2015,Gas,1600,185000,Petroleum,Tagamo3 - New Cairo,320000
1269,Chevrolet,Lanos,Sedan,Manual,2012,Gas,1500,170000,Dark red,Tagamo3 - New Cairo,140000
1270,MG,ZS,Sedan,Automatic,2021,Gas,1500,18800,Silver,Alexandria,485000
1271,Citroën,C5,Sedan,Automatic,2020,Gas,1600,125000,Red,Sheikh Zayed City,690000
1272,Byd,F3,Sedan,Manual,2020,Gas,1600,25000,Dark red,Sheikh Zayed City,220000
1273,Peugeot,405,Sedan,Manual,1994,Gas,1500,201000,White,6 October,80000
1274,MG,5,Sedan,Automatic,2022,Gas,1500,30,Black,Tagamo3 - New Cairo,450000
1275,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2015,Gas,1600,97000,Dark red,Beheira,400000
1276,Ford,Focus,Sedan,Automatic,2017,Gas,1000,90000,Red,Alexandria,350000
1277,Lada,Granta,Sedan,Manual,2016,Gas,1600,175000,Bronze,Cairo,200000
1278,Hyundai,IX 35,SUV,Automatic,2016,Gas,1600,195000,Red,Monufia,550000
1279,Proton,Wira,Sedan,Manual,2004,Gas,1300,335000,Olive,Helwan,77000
1280,Jac,S3,SUV,Automatic,2019,Gas,1600,140000,Red,Cairo,360000
1281,Chevrolet,N300,Van,Manual,2014,Gas,1400,300000,Cyan,Kafr el-Sheikh,150000
1282,Hyundai,Tucson,SUV,Automatic,2019,Gas,1600,113000,White,Giza,770000
1283,Suzuki,Alto,Hatchback,Manual,2007,Gas,1100,169000,Gold,Kafr el-Dawwar,65000
1284,Changan,Alsvin,Sedan,Manual,2022,Gas,1400,42000,White,Giza,225000
1285,Ford,Kuga,SUV,Automatic,2015,Gas,1600,231000,Silver,6 October,420000
1286,Mercedes,C 180,Sedan,Automatic,2009,Gas,1600,276000,Silver,6 October,530000
1287,Mitsubishi,Lancer Crystala,Sedan,Automatic,1996,Gas,1600,200000,Red,Port Said,100000
1288,Mercedes,C 180,Sedan,Automatic,2020,Gas,1500,2000,Black,Tagamo3 - New Cairo,1800000
1289,Nissan,Sunny,Sedan,Manual,2007,Gas,1600,135000,Gold,Qena,180000
1290,Nissan,Sentra,Sedan,Automatic,2021,Gas,1600,60000,Gray,6 October,400000
1291,Nissan,Qashqai,SUV,Automatic,2016,Gas,1200,26000,Eggplant,Zagazig,560000
1292,Isuzu,D max,Pick up,Manual,2015,Diesel,2000,135000,White,Marsa Matrouh,310000
1293,Fiat,Tipo,Sedan,Automatic,2020,Gas,1600,60000,Red,Giza,400000
1294,Hyundai,Verna,Sedan,Manual,2013,Gas,1600,175000,Dark red,Giza,163000
1295,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Gas,1600,120000,Gray,Mansoura,370000
1296,Nissan,Sunny,Sedan,Automatic,2021,Gas,1500,10000,Dark red,Alexandria,325000
1297,Hyundai,IX 35,SUV,Automatic,2014,Gas,1600,145000,Bronze,Maadi,400000
1298,Mitsubishi,Lancer Puma,Sedan,Automatic,2010,Gas,1600,145000,Champagne,6 October,273000
1299,Chery,Tiggo 7 pro,SUV,Automatic,2022,Gas,1500,0,Gray,Heliopolis,645000
1300,Peugeot,301,Sedan,Automatic,2021,Gas,1600,12000,Gray,Helwan,450000
